state,abbr,district,headquarters,population,area,density,url
KL,PT,Pathanamthitta,Pathanamthitta,1195537,2462,Map,453,http://pathanamthitta.nic.in/,
KL,TS,Thrissur,Thrissur,3110327,3032,Map,1026,http://thrissur.nic.in/,
KL,TV,Thiruvananthapuram,Thiruvananthapuram,3307284,2192,Map,1509,http://www.trivandrum.gov.in//,
KL,WA,Wayanad,Kalpetta,816558,2131,Map,383,http://wayanad.nic.in/,
LA,LE,Leh,Leh,147104,45110,3,http://leh.nic.in/
LA,KR,Kargil,Kargil,143388,14036,10,http://kargil.gov.in/
LD,LD,Lakshadweep,Kavaratti,64429,32,2013,http://www.lakshadweep.gov.in/
MP,AG,Agar Malwa,Agar,,,,
MP,AL,Alirajpur,Alirajpur,728677,3182,229,http://alirajpur.nic.in/
MP,AP,Anuppur,Anuppur,749521,3747,200,http://anuppur.nic.in/
MP,AS,Ashok Nagar,Ashok Nagar,844979,4674,181,http://ashoknagar.nic.in/
MP,BL,Balaghat,Balaghat,1701156,9229,184,http://balaghat.nic.in/
MP,BR,Barwani,Barwani,1385659,5432,256,http://barwani.nic.in/
MP,BE,Betul,Betul,1575247,10043,157,http://betul.nic.in/
MP,BD,Bhind,Bhind,1703562,4459,382,http://bhind.nic.in/
MP,BP,Bhopal,Bhopal,2368145,2772,854,http://bhopal.nic.in/
MP,BU,Burhanpur,Burhanpur,756993,3427,221,http://burhanpur.nic.in/
MP,CT,Chhatarpur,Chhatarpur,1762857,8687,203,http://chhatarpur.nic.in/
MP,CN,Chhindwara,Chhindwara,2090306,11815,177,http://chhindwara.nic.in/
MP,DM,Damoh,Damoh,1263703,7306,173,http://damoh.nic.in/
MP,DT,Datia,Datia,786375,2694,292,http://datia.nic.in/
MP,DE,Dewas,Dewas,1563107,7020,223,http://dewas.nic.in/
MP,DH,Dhar,Dhar,2184672,8153,268,http://dhar.nic.in/
MP,DI,Dindori,Dindori,704218,7427,94,http://dindori.nic.in/
MP,GU,Guna,Guna,1240938,6485,194,http://guna.nic.in/
MP,GW,Gwalior,Gwalior,2030543,5465,445,http://gwalior.nic.in/
MP,HA,Harda,Harda,570302,3339,171,http://harda.nic.in/
MP,HO,Hoshangabad,Hoshangabad,1240975,6698,185,http://hoshangabad.nic.in/
MP,IN,Indore,Indore,3272335,3898,839,http://www.indore.nic.in/
MP,JA,Jabalpur,Jabalpur,2460714,5210,472,http://jabalpur.nic.in/
MP,JH,Jhabua,Jhabua,1024091,6782,285,http://jhabua.nic.in/
MP,KA,Katni,Katni,1291684,4947,261,http://katni.nic.in/
MP,EN,Khandwa (East Nimar),Khandwa,1309443,7349,178,http://khandwa.nic.in/
